learning_rate,epoch,training_loss,training_error,test_loss,test_error
0.050000,52,0.040298,5.911397,0.054851,8.320877
0.050000,53,0.038077,5.458785,0.055575,8.470354
0.050000,54,0.039535,6.075984,0.055086,8.221226
0.050000,55,0.046231,6.652037,0.058790,9.267564
0.050000,56,0.040390,6.103415,0.053842,7.922272
0.050000,57,0.036662,5.431354,0.055652,8.819133
0.050000,58,0.034375,5.006172,0.048637,7.224713
0.050000,59,0.035393,5.225621,0.053166,7.722970
0.050000,60,0.036044,5.321630,0.050557,7.374190
0.050000,61,0.037767,5.527362,0.052086,7.772795
0.050000,62,0.040931,6.213140,0.055401,8.370703
0.050000,63,0.040463,6.322864,0.055403,8.619830
0.050000,64,0.037312,5.499931,0.052115,7.473842
0.050000,65,0.040813,6.062269,0.052976,8.320877
0.050000,66,0.038047,5.568509,0.054463,8.570005
0.050000,67,0.032056,4.759292,0.051644,8.071749
0.050000,68,0.047303,7.008641,0.063621,9.566517
0.050000,69,0.033345,4.965025,0.049953,7.523667
0.050000,70,0.040474,5.870251,0.055498,8.121574
0.050000,71,0.036462,5.376492,0.054390,8.121574
0.050000,72,0.042632,6.213140,0.057627,9.068261
0.050000,73,0.034651,4.910163,0.052955,7.623318
0.050000,74,0.035915,5.225621,0.053671,7.822621
0.050000,75,0.036991,5.458785,0.055291,8.520180
0.050000,76,0.042775,6.158278,0.056390,8.221226
0.050000,77,0.035153,5.102181,0.055950,8.520180
0.050000,78,0.037254,5.445069,0.056720,8.719481
0.050000,79,0.032211,4.718146,0.053894,8.171400
0.050000,80,0.037478,5.554793,0.054814,8.669656
0.050000,81,0.042517,6.528597,0.059272,9.118087
0.050000,82,0.039774,6.048553,0.060112,9.367215
0.050000,83,0.045619,6.652037,0.064142,9.566517
0.050000,84,0.039871,5.883966,0.053667,7.872447
0.050000,85,0.044528,6.514881,0.057412,8.570005
0.050000,86,0.039834,6.007406,0.057533,8.868958
0.050000,87,0.032829,4.923879,0.048269,7.125062
0.050000,88,0.036482,5.321630,0.053023,8.121574
0.050000,89,0.037596,5.513647,0.050357,8.121574
0.050000,90,0.038673,5.691949,0.054348,8.470354
0.050000,91,0.035214,5.321630,0.049978,7.324365
0.050000,92,0.034512,4.965025,0.051787,7.573493
0.050000,93,0.047369,6.981210,0.065209,10.313901
0.050000,94,0.051699,7.516116,0.066646,9.965122
0.050000,95,0.034675,5.019887,0.051391,8.420528
0.050000,96,0.034748,5.225621,0.055222,8.271051
0.050000,97,0.034693,5.431354,0.051862,8.470354
0.050000,98,0.034479,5.061034,0.053550,8.420528
0.050000,99,0.041115,6.062269,0.059131,9.367215
0.050000,100,0.039166,5.979975,0.051208,7.772795
0.025000,1,0.332849,79.262100,0.335576,80.468361
0.025000,2,0.085265,13.235496,0.089426,14.299951
0.025000,3,0.058798,9.271705,0.065911,10.812158
0.025000,4,0.047833,7.173227,0.053520,8.271051
0.025000,5,0.042801,6.624606,0.050472,7.374190
0.025000,6,0.046557,7.420107,0.054225,8.520180
0.025000,7,0.039392,5.829104,0.048721,7.274539
0.025000,8,0.032400,4.841586,0.044383,6.925760
0.025000,9,0.029102,4.402688,0.041965,6.527155
0.025000,10,0.027746,3.963791,0.042381,6.626806
0.025000,11,0.025397,3.662049,0.039774,6.726458
0.025000,12,0.022909,3.319161,0.040886,6.327853
0.025000,13,0.023961,3.456316,0.040125,6.327853
0.025000,14,0.021511,2.811686,0.040575,6.327853
0.025000,15,0.025466,3.607187,0.039674,6.178376
0.025000,16,0.016988,2.359073,0.037901,6.028899
0.025000,17,0.019033,2.619668,0.039994,5.929248
0.025000,18,0.018752,2.674530,0.037347,5.879422
0.025000,19,0.017872,2.496228,0.037909,5.929248
0.025000,20,0.017866,2.427650,0.039446,6.178376
0.025000,21,0.018825,2.701961,0.040914,6.327853
0.025000,22,0.017132,2.276780,0.037923,5.779771
0.025000,23,0.017717,2.427650,0.039307,6.128550
0.025000,24,0.014025,1.947607,0.037257,5.979073
0.025000,25,0.017155,2.455082,0.038477,5.530643
0.025000,26,0.015732,2.084762,0.037784,5.680120
0.025000,27,0.016049,2.084762,0.038057,5.580468
0.025000,28,0.013171,1.906460,0.037867,6.028899
0.025000,29,0.014473,2.002469,0.036544,5.729945
0.025000,30,0.016897,2.455082,0.040458,6.178376
0.025000,31,0.014429,2.112193,0.038009,5.929248
0.025000,32,0.012916,1.810451,0.037896,5.929248
0.025000,33,0.012062,1.618434,0.035398,5.680120
0.025000,34,0.012795,1.687011,0.039527,6.377678
0.025000,35,0.010212,1.330407,0.036076,5.630294
0.025000,36,0.012233,1.824167,0.038268,6.028899
0.025000,37,0.011011,1.563572,0.037656,5.729945
0.025000,38,0.012712,1.783020,0.038274,5.630294
0.025000,39,0.016019,2.167055,0.042626,6.527155
0.025000,40,0.013610,1.783020,0.040628,6.128550
0.025000,41,0.011522,1.591003,0.040009,6.078724
0.025000,42,0.008773,1.165821,0.037993,5.630294
0.025000,43,0.007979,1.138390,0.037787,6.128550
0.025000,44,0.008060,1.097243,0.037090,5.580468
0.025000,45,0.010428,1.412701,0.038284,5.779771
0.025000,46,0.008032,1.097243,0.036112,5.430992
0.025000,47,0.008374,1.138390,0.037753,5.680120
0.025000,48,0.007751,1.110959,0.038069,6.028899
0.025000,49,0.010403,1.508709,0.039782,5.979073
0.025000,50,0.008156,1.206967,0.038741,5.530643
0.025000,51,0.006478,0.905226,0.037055,5.729945
0.025000,52,0.008485,1.138390,0.039732,5.979073
0.025000,53,0.008555,1.124674,0.040017,6.178376
0.025000,54,0.007007,1.028665,0.037222,5.779771
0.025000,55,0.005816,0.809217,0.039188,6.128550
0.025000,56,0.004670,0.726924,0.037638,5.829597
0.025000,57,0.004686,0.726924,0.037849,5.680120
0.025000,58,0.005185,0.768070,0.039144,5.879422
0.025000,59,0.004304,0.713208,0.038060,5.729945
0.025000,60,0.004934,0.699493,0.038239,5.929248
0.025000,61,0.004188,0.658346,0.036448,5.331340
0.025000,62,0.003942,0.658346,0.037714,5.829597
0.025000,63,0.003517,0.644630,0.037212,5.630294
0.025000,64,0.003397,0.644630,0.038010,5.680120
0.025000,65,0.003235,0.644630,0.036812,5.630294
